ID,MeterID,VoltagephaseA,VoltagephaseB,VoltagephaseC,CurrentphaseA,CurrentphaseB,CurrentphaseC,Powerfactortotal,Totalactivepower,Totalreactivepower,Totalkilowatthour,ReverseTotalkilowatthour,Totalkilovarhour,ReverseTotalkilovarhour,StartReadingTime,EndReadingTime,UserName,TimeStamp,MeterName
336219,89,0,32571,32535,216,225,219,0.977,12150,2520,133416022.5,0,55489646.25,0,1/1/2020 9:35 AM,1/1/2020 9:36 AM,System Automatic,1/1/2020 9:36 AM,???? ??? ??????
336233,89,0,32889,32820,222,237,228,0.982,12420,2790,133419093.8,0,55490293.13,0,1/1/2020 9:50 AM,1/1/2020 9:51 AM,System Automatic,1/1/2020 9:51 AM,???? ??? ??????
336250,89,0,32985,32910,225,240,231,0.98,12690,2790,133422255,0,55490996.25,0,1/1/2020 10:05 AM,1/1/2020 10:06 AM,System Automatic,1/1/2020 10:06 AM,???? ??? ??????
336307,89,0,33057,33180,207,219,210,0.982,11880,2610,133428453.8,0,55492408.13,0,1/1/2020 10:35 AM,1/1/2020 10:36 AM,System Automatic,1/1/2020 10:36 AM,???? ??? ??????
336319,89,0,33117,33126,210,222,216,0.972,12060,2880,133431468.8,0,55493111.25,0,1/1/2020 10:50 AM,1/1/2020 10:51 AM,System Automatic,1/1/2020 10:51 AM,???? ??? ??????
336332,89,0,33195,33255,204,213,210,0.978,11700,2790,133434506.3,0,55493820,0,1/1/2020 11:05 AM,1/1/2020 11:06 AM,System Automatic,1/1/2020 11:06 AM,???? ??? ??????
336401,89,0,33216,33156,207,219,216,0.975,12060,2880,133440446.3,0,55495248.75,0,1/1/2020 11:35 AM,1/1/2020 11:36 AM,System Automatic,1/1/2020 11:36 AM,???? ??? ??????
336409,89,0,33066,33042,210,222,219,0.976,12240,2880,133443427.5,0,55495963.13,0,1/1/2020 11:50 AM,1/1/2020 11:51 AM,System Automatic,1/1/2020 11:51 AM,???? ??? ??????
336425,89,0,33180,33195,201,210,204,0.971,11430,2790,133446397.5,0,55496688.75,0,1/1/2020 12:05 PM,1/1/2020 12:06 PM,System Automatic,1/1/2020 12:06 PM,???? ??? ??????
336485,89,0,33159,33303,201,216,207,0.971,11520,2970,133451977.5,0,55498095,0,1/1/2020 12:35 PM,1/1/2020 12:36 PM,System Automatic,1/1/2020 12:36 PM,???? ??? ??????
336500,89,0,33192,33174,204,216,207,0.972,11700,2880,133454857.5,0,55498826.25,0,1/1/2020 12:50 PM,1/1/2020 12:51 PM,System Automatic,1/1/2020 12:51 PM,???? ??? ??????
336524,89,0,33081,33054,204,216,210,0.973,11700,2790,133458097.5,0,55499608.13,0,1/1/2020 1:06 PM,1/1/2020 1:07 PM,System Automatic,1/1/2020 1:07 PM,???? ??? ??????
336575,89,0,33003,32931,213,222,210,0.983,11610,2700,133463823.8,0,55500946.88,0,1/1/2020 1:35 PM,1/1/2020 1:36 PM,System Automatic,1/1/2020 1:36 PM,???? ??? ??????
336587,89,0,32985,33024,207,216,210,0.978,11700,2700,133466737.5,0,55501633.13,0,1/1/2020 1:50 PM,1/1/2020 1:51 PM,System Automatic,1/1/2020 1:51 PM,???? ??? ??????
336601,89,0,33090,33159,201,210,201,0.983,11430,2520,133469595,0,55502291.25,0,1/1/2020 2:05 PM,1/1/2020 2:06 PM,System Automatic,1/1/2020 2:06 PM,???? ??? ??????
336662,89,0,32937,32967,207,219,213,0.981,11880,2610,133475602.5,0,55503630,0,1/1/2020 2:35 PM,1/1/2020 2:36 PM,System Automatic,1/1/2020 2:36 PM,???? ??? ??????
336676,89,0,32694,32697,222,231,228,0.98,12420,2610,133478662.5,0,55504288.13,0,1/1/2020 2:50 PM,1/1/2020 2:51 PM,System Automatic,1/1/2020 2:51 PM,???? ??? ??????
336694,89,0,32691,32697,240,249,243,0.975,13500,2970,133481925,0,55505008.13,0,1/1/2020 3:05 PM,1/1/2020 3:06 PM,System Automatic,1/1/2020 3:06 PM,???? ??? ??????
336750,89,0,32289,32310,261,273,267,0.977,14400,3150,133488798.8,0,55506538.13,0,1/1/2020 3:35 PM,1/1/2020 3:36 PM,System Automatic,1/1/2020 3:36 PM,???? ??? ??????
336768,89,0,32025,32004,264,279,273,0.977,14760,3150,133492736.3,0,55507381.88,0,1/1/2020 3:51 PM,1/1/2020 3:52 PM,System Automatic,1/1/2020 3:52 PM,???? ??? ??????
336780,89,0,32313,32292,258,273,267,0.987,14490,2970,133496077.5,0,55508073.75,0,1/1/2020 4:05 PM,1/1/2020 4:06 PM,System Automatic,1/1/2020 4:06 PM,???? ??? ??????
336836,89,0,32271,32274,267,279,273,0.984,14940,2970,133503390,0,55509558.75,0,1/1/2020 4:35 PM,1/1/2020 4:36 PM,System Automatic,1/1/2020 4:36 PM,???? ??? ??????
336854,89,0,31881,31998,291,303,294,0.979,16020,3240,133507248.8,0,55510346.25,0,1/1/2020 4:50 PM,1/1/2020 4:51 PM,System Automatic,1/1/2020 4:51 PM,???? ??? ??????
336869,89,0,32013,32133,288,300,291,0.985,16110,3060,133511253.8,0,55511133.75,0,1/1/2020 5:05 PM,1/1/2020 5:06 PM,System Automatic,1/1/2020 5:06 PM,???? ??? ??????
336934,89,0,32226,32358,285,300,288,0.985,16020,2970,133519353.8,0,55512663.75,0,1/1/2020 5:35 PM,1/1/2020 5:36 PM,System Automatic,1/1/2020 5:36 PM,???? ??? ??????
336939,89,0,32289,32469,282,297,285,0.984,15930,2880,133523291.3,0,55513395,0,1/1/2020 5:50 PM,1/1/2020 5:51 PM,System Automatic,1/1/2020 5:51 PM,???? ??? ??????
336954,89,0,32238,32337,285,297,288,0.985,16020,2880,133527273.8,0,55514115,0,1/1/2020 6:05 PM,1/1/2020 6:06 PM,System Automatic,1/1/2020 6:06 PM,???? ??? ??????
337014,89,0,32577,32709,270,282,276,0.984,15390,2700,133535137.5,0,55515521.25,0,1/1/2020 6:35 PM,1/1/2020 6:36 PM,System Automatic,1/1/2020 6:36 PM,???? ??? ??????
337028,89,0,32877,32994,264,273,267,0.991,15030,2610,133538940,0,55516201.88,0,1/1/2020 6:50 PM,1/1/2020 6:51 PM,System Automatic,1/1/2020 6:51 PM,???? ??? ??????
337042,89,0,32595,32730,261,270,261,0.989,14850,2430,133542652.5,0,55516826.25,0,1/1/2020 7:05 PM,1/1/2020 7:06 PM,System Automatic,1/1/2020 7:06 PM,???? ??? ??????
337099,89,0,32496,32580,267,273,270,0.988,15030,2520,133550122.5,0,55518086.25,0,1/1/2020 7:35 PM,1/1/2020 7:36 PM,System Automatic,1/1/2020 7:36 PM,???? ??? ??????
337114,89,0,31743,32466,267,279,270,0.988,14940,2610,133553880,0,55518721.88,0,1/1/2020 7:50 PM,1/1/2020 7:51 PM,System Automatic,1/1/2020 7:51 PM,???? ??? ??????
337129,89,0,32418,32463,270,282,276,0.984,15300,2700,133557648.8,0,55519396.88,0,1/1/2020 8:05 PM,1/1/2020 8:06 PM,System Automatic,1/1/2020 8:06 PM,???? ??? ??????
337187,89,0,32472,32514,270,282,273,0.986,15210,2790,133565287.5,0,55520775,0,1/1/2020 8:35 PM,1/1/2020 8:36 PM,System Automatic,1/1/2020 8:36 PM,???? ??? ??????
337200,89,0,32592,32598,270,279,273,0.982,15210,2700,133569112.5,0,55521466.88,0,1/1/2020 8:50 PM,1/1/2020 8:51 PM,System Automatic,1/1/2020 8:51 PM,???? ??? ??????
337227,89,0,32865,32841,261,270,264,0.984,14850,2700,133573140,0,55522203.75,0,1/1/2020 9:06 PM,1/1/2020 9:07 PM,System Automatic,1/1/2020 9:07 PM,???? ??? ??????
337274,89,0,32619,32688,255,264,261,0.981,14490,2700,133580238.8,0,55523536.88,0,1/1/2020 9:35 PM,1/1/2020 9:36 PM,System Automatic,1/1/2020 9:36 PM,???? ??? ??????
337292,89,0,32658,32709,252,258,255,0.982,14220,2610,133583850,0,55524223.13,0,1/1/2020 9:50 PM,1/1/2020 9:51 PM,System Automatic,1/1/2020 9:51 PM,???? ??? ??????
337309,89,0,32718,32766,243,252,249,0.982,13860,2610,133587371.3,0,55524881.25,0,1/1/2020 10:05 PM,1/1/2020 10:06 PM,System Automatic,1/1/2020 10:06 PM,???? ??? ??????
337360,89,0,32778,32880,228,237,231,0.984,13050,2430,133594053.8,0,55526130,0,1/1/2020 10:35 PM,1/1/2020 10:36 PM,System Automatic,1/1/2020 10:36 PM,???? ??? ??????
337385,89,0,33030,33102,222,231,225,0.982,12690,2520,133597732.5,0,55526838.75,0,1/1/2020 10:50 PM,1/1/2020 10:53 PM,System Automatic,1/1/2020 10:53 PM,???? ??? ??????
337389,89,0,33273,33315,216,225,222,0.979,12510,2610,133600455,0,55527406.88,0,1/1/2020 11:05 PM,1/1/2020 11:06 PM,System Automatic,1/1/2020 11:06 PM,???? ??? ??????
337453,89,0,32925,33015,201,207,204,0.989,11430,2250,133606665,0,55528666.88,0,1/1/2020 11:36 PM,1/1/2020 11:37 PM,System Automatic,1/1/2020 11:37 PM,???? ??? ??????
337456,89,0,33045,33096,195,204,198,0.988,11160,2250,133609252.5,0,55529190,0,1/1/2020 11:50 PM,1/1/2020 11:51 PM,System Automatic,1/1/2020 11:51 PM,???? ??? ??????
337475,89,0,33348,33378,183,192,189,0.98,10620,2340,133612087.5,0,55529803.13,0,2/1/2020 12:05 AM,2/1/2020 12:07 AM,System Automatic,2/1/2020 12:07 AM,???? ??? ??????
337491,89,0,33891,33891,168,177,174,0.969,9720,2700,133617138.8,0,55531035,0,2/1/2020 12:36 AM,2/1/2020 12:37 AM,System Automatic,2/1/2020 12:37 AM,???? ??? ??????
337495,89,0,33999,33999,162,168,168,0.957,9360,2790,133619467.5,0,55531710,0,2/1/2020 12:50 AM,2/1/2020 12:51 AM,System Automatic,2/1/2020 12:51 AM,???? ??? ??????
337511,89,0,33813,33861,156,162,159,0.965,9000,2520,133621728.8,0,55532356.88,0,2/1/2020 1:05 AM,2/1/2020 1:06 AM,System Automatic,2/1/2020 1:06 AM,???? ??? ??????
337559,89,0,34041,34089,147,153,150,0.95,8370,2700,133626150,0,55533706.88,0,2/1/2020 1:35 AM,2/1/2020 1:36 AM,System Automatic,2/1/2020 1:36 AM,???? ??? ??????
337573,89,0,34059,34113,144,153,147,0.958,8190,2880,133628208.8,0,55534393.13,0,2/1/2020 1:50 AM,2/1/2020 1:51 AM,System Automatic,2/1/2020 1:51 AM,???? ??? ??????
337589,89,0,34146,34182,144,150,144,0.943,8010,2880,133630312.5,0,55535118.75,0,2/1/2020 2:05 AM,2/1/2020 2:07 AM,System Automatic,2/1/2020 2:07 AM,???? ??? ??????
337633,89,0,34161,34188,141,147,144,0.946,7920,2880,133634283.8,0,55536570,0,2/1/2020 2:35 AM,2/1/2020 2:37 AM,System Automatic,2/1/2020 2:37 AM,???? ??? ??????
337651,89,0,34215,34260,141,147,144,0.944,7830,2970,133636207.5,0,55537290,0,2/1/2020 2:50 AM,2/1/2020 2:51 AM,System Automatic,2/1/2020 2:51 AM,???? ??? ??????
337666,89,0,34239,34263,138,144,141,0.938,7830,2970,133638176.3,0,55538038.13,0,2/1/2020 3:05 AM,2/1/2020 3:06 AM,System Automatic,2/1/2020 3:06 AM,???? ??? ??????
337716,89,0,33951,33993,138,144,141,0.949,7740,2700,133642102.5,0,55539540,0,2/1/2020 3:35 AM,2/1/2020 3:36 AM,System Automatic,2/1/2020 3:36 AM,???? ??? ??????
337731,89,0,33951,33978,135,141,138,0.953,7650,2700,133644037.5,0,55540226.25,0,2/1/2020 3:50 AM,2/1/2020 3:51 AM,System Automatic,2/1/2020 3:51 AM,???? ??? ??????
337745,89,0,33957,33969,135,141,138,0.951,7650,2610,133645961.3,0,55540906.88,0,2/1/2020 4:05 AM,2/1/2020 4:06 AM,System Automatic,2/1/2020 4:06 AM,???? ??? ??????
337794,89,0,33879,33876,138,144,141,0.948,7830,2610,133649842.5,0,55542240,0,2/1/2020 4:35 AM,2/1/2020 4:36 AM,System Automatic,2/1/2020 4:36 AM,???? ??? ??????
337810,89,0,33894,33933,138,144,141,0.96,7830,2520,133651822.5,0,55542903.75,0,2/1/2020 4:50 AM,2/1/2020 4:51 AM,System Automatic,2/1/2020 4:51 AM,???? ??? ??????
